Indicator,Country code,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Domestic currency,US,"1.363.118,00","1.325.522,00","1.337.232,00","1.363.870,00","1.363.118,00"
Foreign currency,US,"282.293,00","269.529,00","251.061,00","238.401,00","282.293,00"
Euro,US,"114.476,00","86.539,00","92.781,00","86.830,00","114.476,00"
Yen,US,"63.421,00","58.097,00","51.865,00","54.301,00","63.421,00"
Other currencies,US,"104.396,00","124.894,00","106.415,00","97.270,00","104.396,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"30.931,00","30.925,00","30.987,00","30.623,00","30.931,00"
Domestic currency,US,"30.033,00","30.036,00","30.055,00","29.696,00","30.033,00"
Foreign currency,US,"898,00","889,00","932,00","927,00","898,00"
Euro,US,"112,00","67,00","61,00","56,00","112,00"
Yen,US,"27,00","196,00","71,00","50,00","27,00"
Other currencies,US,"760,00","626,00","800,00","821,00","760,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"0,00","0,00","0,00","0,00","0,00"
Domestic currency,US,"0,00","0,00","0,00","0,00","0,00"
Foreign currency,US,"0,00","0,00","0,00","0,00","0,00"
Euro,US,"0,00","0,00","0,00","0,00","0,00"
Yen,US,"0,00","0,00","0,00","0,00","0,00"
Other currencies,US,"0,00","0,00","0,00","0,00","0,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"6.100.541,00","6.566.123,00","6.271.068,00","6.107.809,00","6.100.541,00"
Domestic currency,US,"4.755.494,00","5.166.837,00","4.947.841,00","4.786.122,00","4.755.494,00"
Foreign currency,US,"1.345.047,00","1.399.286,00","1.323.227,00","1.321.687,00","1.345.047,00"
Euro,US,"624.646,00","619.945,00","602.852,00","617.675,00","624.646,00"
Yen,US,"193.424,00","176.054,00","167.363,00","172.581,00","193.424,00"
Other currencies,US,"526.976,00","603.286,00","553.013,00","531.431,00","526.976,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Of which one year or less,US,"2.971.691,00","3.131.431,00","3.094.159,00","3.042.655,00","2.971.691,00"
Domestic currency,US,"2.235.960,00","2.415.625,00","2.405.862,00","2.327.044,00","2.235.960,00"
Foreign currency,US,"735.731,00","715.805,00","688.297,00","715.610,00","735.731,00"
Euro,US,"360.881,00","343.474,00","337.933,00","359.597,00","360.881,00"
Yen,US,"128.239,00","105.510,00","102.171,00","109.193,00","128.239,00"
Other currencies,US,"246.611,00","266.822,00","248.193,00","246.820,00","246.611,00"
Unallocated,US,"0,00","0,00","0,00","0,00","0,00"
Total,US,"4.408.249,00","4.849.773,00","4.555.297,00","4.421.602,00","4.408.249,00"
Domestic currency,US,"3.545.477,00","3.920.944,00","3.695.583,00","3.575.450,00","3.545.477,00"
